"","Country","Area","Waterbody.Type","Date","Ammonia..mg.l.","Biochemical.Oxygen.Demand..mg.l.","Dissolved.Oxygen..mg.l.","Orthophosphate..mg.l.","pH..ph.units.","Temperature..cel.","Nitrogen..mg.l.","Nitrate..mg.l.","CCME_Values","CCME_WQI"
"1","Ireland","Bandonllen, Abisdealy","Lake",2007-02-21,0.038,1.4,4.887,0.006,7.9,17.3,1.422,1.3,100,"Excellent"
"2","Ireland","Bandonllen, Abisdealy","Lake",2007-02-17,0.038,1.4,4.4055,0.006,7.6,15.6,1.422,1.3,100,"Excellent"
"3","Ireland","Bandonllen, Abisdealy","Lake",2008-02-11,0.038,1.4,4.7025,0.006,7.5,14.7,1.422,1.3,100,"Excellent"
"4","Ireland","Bandonllen, Abisdealy","Lake",2008-02-20,0.038,1.4,4.068,0.009,7.5,13,1.422,1.3,100,"Excellent"
"5","Ireland","Bandonllen, Abisdealy","Lake",2009-02-21,0.038,1.4,4.698,0.013,7.6,6.5,1.422,1.3,100,"Excellent"
"6","Ireland","Bandonllen, Abisdealy","Lake",2009-02-14,0.038,1.4,5.022,0.006,7.7,12.6,1.422,1.3,100,"Excellent"
"7","Ireland","Bandonllen, Abisdealy","Lake",2009-02-06,0.038,1.4,4.275,0.025,7.4,19.1,1.422,1.3,100,"Excellent"
"8","Ireland","Bandonllen, Abisdealy","Lake",2009-02-08,0.038,1.4,11.6841033830144,0.025,7.2,14.8,1.422,1.3,100,"Excellent"
"9","Ireland","Bandonllen, Abisdealy","Lake",2010-02-26,0.038,1.4,4.905,0.025,7.6,15.3,1.422,1.3,100,"Excellent"
"10","Ireland","Bandonllen, Abisdealy","Lake",2010-02-14,0.038,1.4,5.1165,0.025,7.8,20.1,1.422,1.3,100,"Excellent"
"11","Ireland","Bandonllen, Abisdealy","Lake",2010-02-20,0.038,1.4,4.383,0.012,7.4,13.6,1.422,1.3,100,"Excellent"
"12","Ireland","Bandonllen, Abisdealy","Lake",2011-02-19,0.038,1.4,11.6841033830144,0.025,7.9,13.5,1.422,1.3,100,"Excellent"
"13","Ireland","Bandonllen, Abisdealy","Lake",2011-02-13,0.038,1.4,3.195,0.008,7,19.5,1.422,1.3,100,"Excellent"
"14","Ireland","Bandonllen, Abisdealy","Lake",2011-02-16,0.038,1.4,11.6841033830144,0.025,7.3,18,1.422,1.3,100,"Excellent"
"15","Ireland","Bandonllen, Abisdealy","Lake",2011-02-12,0.038,1.4,4.851,0.025,7.4,14.2,1.422,1.3,100,"Excellent"
"16","Ireland","Bandonllen, Abisdealy","Lake",2012-02-11,0.038,1.4,5.3325,0.025,8,11.1,1.422,1.3,100,"Excellent"
"17","Ireland","Bandonllen, Abisdealy","Lake",2012-02-17,0.038,1.4,4.3695,0.025,7.8,17.6,1.422,1.3,100,"Excellent"
"18","Ireland","Bandonllen, Abisdealy","Lake",2012-02-21,0.038,1.4,4.3515,0.025,7.7,18.7,1.422,1.3,100,"Excellent"
"19","Ireland","Bandonllen, Abisdealy","Lake",2012-02-16,0.038,1.4,3.6315,0.025,7.6,12,1.422,1.3,100,"Excellent"
"20","Ireland","Bandonllen, Abisdealy","Lake",2013-02-17,0.024,1.4,4.185,0.018,7.8,11.3,1.422,1.1,100,"Excellent"
"21","Ireland","Bandonllen, Abisdealy","Lake",2013-02-16,0.02,1.4,4.59,0.025,7.9,23.9,1.422,1.3,100,"Excellent"
"22","Ireland","Bandonllen, Abisdealy","Lake",2013-02-21,0.041,1.4,5.0445,0.021,7.7,21.8,1.422,1.3,100,"Excellent"
"23","Ireland","Bandonllen, Abisdealy","Lake",2013-02-15,0.02,1.4,3.4515,0.025,7.5,14.4,1.422,1.3,100,"Excellent"
"24","Ireland","Bandonllen, Abisdealy","Lake",2014-02-16,0.1,1.4,4.9185,0.007,7.6,13.9,1.422,1.1,100,"Excellent"
"25","Ireland","Bandonllen, Abisdealy","Lake",2014-02-28,0.025,1.4,11.6841033830144,0.025,7.3,20.8,1.422,1.3,100,"Excellent"
"26","Ireland","Bandonllen, Abisdealy","Lake",2014-02-20,0.054,1.4,3.7935,0.01,7.4,17.4,1.422,1.3,100,"Excellent"
"27","Ireland","Bandonllen, Abisdealy","Lake",2014-02-15,0.058,1.4,3.7665,0.007,7.3,13.7,1.422,1.3,100,"Excellent"
"28","Ireland","Bandonllen, Abisdealy","Lake",2015-02-21,0.01,1.4,11.6841033830144,0.025,7.9,15.2,1,1,100,"Excellent"
"29","Ireland","Bandonllen, Abisdealy","Lake",2015-02-24,0.022,1.4,4.113,0.025,7.5,17.6,0.6,0.6,100,"Excellent"
"30","Ireland","Bandonllen, Abisdealy","Lake",2015-02-21,0.08,1.4,4.3245,0.025,7.5,13.7,0.4,0.4,100,"Excellent"
"31","Ireland","Bandonllen, Abisdealy","Lake",2016-02-21,0.043,1.4,11.5,0.025,7.6,12.3,0.61,0.61,100,"Excellent"
"32","Ireland","Bandonllen, Abisdealy","Lake",2016-02-20,0.038,1.4,4.707,0.025,7.7,21.3,1.422,1.3,100,"Excellent"
"33","Ireland","Bandonllen, Abisdealy","Lake",2016-02-04,0.026,1.4,11.6841033830144,0.025,7.6,19.6,1.422,1.3,100,"Excellent"
"34","Ireland","Bandonllen, Abisdealy","Lake",2016-02-05,0.091,1.4,4.257,0.011,7.4,15.5,0.31,0.3,100,"Excellent"
"35","Ireland","Bandonllen, Abisdealy","Lake",2017-02-18,0.034,1.4,5.517,0.025,7.9,14,1.2,1.2,100,"Excellent"
"36","Ireland","Bandonllen, Abisdealy","Lake",2017-02-20,0.085,1.4,4.1175,0.025,7.3,20.5,0.7,0.7,100,"Excellent"
"37","Ireland","Bandonllen, Abisdealy","Lake",2017-02-03,0.038,1.4,4.482,0.025,7.6,17.3,1.422,1.3,100,"Excellent"
"38","Ireland","Bandonllen, Abisdealy","Lake",2017-02-07,0.038,1.4,11.6841033830144,0.01,7.6,17.5,1.422,1.3,100,"Excellent"
"39","Ireland","Bandonllen, Abisdealy","Lake",2017-02-04,0.038,1.4,4.212,0.025,7.3,14.2,0.41,0.41,100,"Excellent"
"40","Ireland","Bandonllen, Abisdealy","Lake",2018-02-11,0.041,1.4,11.6841033830144,0.025,7.5,10,1.5,1.5,100,"Excellent"
"41","Ireland","Bandonllen, Abisdealy","Lake",2018-02-19,0.038,1.4,3.969,0.025,7.5,20.6,1.422,1.3,100,"Excellent"
"42","Ireland","Bandonllen, Abisdealy","Lake",2018-02-01,0.04,1.4,11.6841033830144,0.025,7.4,19,1.422,1.3,100,"Excellent"
"43","Ireland","Bandonllen, Abisdealy","Lake",2018-02-03,0.037,1.4,11.6841033830144,0.025,7.4,15.3,1.422,1.3,100,"Excellent"
"44","Ireland","Bandonllen, Abisdealy","Lake",2019-02-04,0.038,1.4,11.6841033830144,0.025,7.5,10.4,1.8,1.8,100,"Excellent"
"45","Ireland","Bandonllen, Abisdealy","Lake",2019-02-17,0.1,1.4,11.6841033830144,0.025,7,20.5,1.422,1.3,100,"Excellent"
"46","Ireland","Bandonllen, Abisdealy","Lake",2019-02-01,0.048,1.4,3.3435,0.025,7.1,18.8,1.422,1.3,100,"Excellent"
"47","Ireland","Bandonllen, Abisdealy","Lake",2019-02-03,0.037,1.4,11.6841033830144,0.025,7.4,15.6,0.42,0.42,100,"Excellent"
"48","Ireland","Bandonllen, Abisdealy","Lake",2020-02-15,0.021,1.4,11.6841033830144,0.025,7.2,18.9,0.52,0.51,100,"Excellent"
"49","Ireland","Bandonllen, Abisdealy","Lake",2020-02-05,0.038,1.4,11.6841033830144,0.025,7.2,19.1,0.36,0.35,100,"Excellent"
"50","Ireland","Bandonllen, Abisdealy","Lake",2020-02-01,0.091,1.4,11.6841033830144,0.023,7.2,13.5,0.62,0.61,100,"Excellent"
